time,count,p90,p99
1357711220000,2072,0.012972,0.817242
1357711221000,960,0.023786,2.408119
1357711223000,514,0.031527,0.091042
1357711224000,2249,0.023084,0.476103
1357711225000,454,0.058764,2.348102
1357711227000,1557,0.037482,0.105166
1357711228000,453,0.137014,2.665597
1357711231000,3084,0.034306,0.097878
1357711232000,598,0.077782,2.375239
1357711235000,2832,0.036488,0.106696
1357711236000,377,2.022563,2.115615
1357711238000,2533,0.037914,0.102185
1357711239000,268,2.307192,2.373495
1357711241000,1728,0.045222,0.115854
1357711242000,1436,0.031385,1.450596
1357711243000,488,0.038052,0.110820
1357711244000,1016,0.042010,1.302153
1357711245000,1127,0.045469,0.114070
1357711246000,1555,0.056917,0.610675
1357711247000,938,0.064030,1.757465
1357711249000,1973,0.054480,0.136005
1357711250000,2025,0.053976,0.169859
1357711251000,2264,0.056171,0.137098
1357711252000,864,0.068068,2.037345
1357711254000,1988,0.042613,0.100379
1357711255000,2611,0.041916,0.113899
1357711256000,718,0.048251,1.450204
1357711257000,6,0.053971,0.069686
1357711258000,3405,0.025558,0.089884
1357711259000,1686,0.001663,1.344380
1357711260000,1243,0.021594,0.074975
1357711261000,4755,0.003344,0.046319
1357711262000,4558,0.018680,0.072255
1357711263000,1175,0.052694,0.707124
1357711264000,2549,0.015407,1.274129
1357711266000,3146,0.027553,0.085302
1357711267000,2866,0.003536,0.964921
1357711268000,1684,0.048860,0.110347
1357711269000,2640,0.043047,1.728298
1357711271000,1635,0.057060,0.135683
1357711272000,3616,0.031868,0.082705
1357711273000,1237,0.054853,0.682564
1357711274000,3866,0.038000,0.093583
1357711275000,443,1.819851,1.893812
1357711276000,179,0.076485,0.121873
1357711277000,3293,0.039878,0.101591
1357711278000,1133,0.002494,0.044593
1357711279000,565,0.030078,0.101133
1357711280000,384,0.003116,1.153331
1357711281000,539,0.033035,0.290211
1357711282000,563,0.001361,1.369665
1357711283000,33,0.824452,1.035100
1357711284000,1288,0.032329,0.094191
1357711285000,712,0.001207,0.004489
1357711286000,698,0.001150,0.003461
1357711287000,425,0.001110,0.002787
1357711288000,449,0.001067,0.005571
1357711289000,387,0.000991,0.002980
1357711290000,432,0.001250,0.007408
1357711291000,502,0.001133,0.034899
1357711292000,683,0.002727,0.258580
1357711293000,365,0.001954,2.015644
1357711294000,18,0.977791,1.139248
1357711295000,1242,0.033196,0.134087
1357711296000,234,0.001068,0.003176
1357711297000,517,0.001154,0.004317
1357711298000,104,0.706849,1.032783
1357711299000,676,0.002300,0.042081
1357711300000,58,1.981038,2.156408
1357711301000,14,1.228958,1.267053
1357711302000,1561,0.014211,0.063022
1357711303000,571,0.001106,0.003054
1357711304000,768,0.001101,0.003810
1357711305000,354,0.001295,2.032857
1357711306000,36,1.607848,1.704487
1357711307000,362,0.035304,0.745424
1357711308000,1206,0.001983,0.023322
1357711309000,661,0.001103,0.003371
1357711310000,438,0.001816,0.099362
1357711311000,400,0.001155,0.003444
1357711312000,577,0.000993,0.002722
1357711313000,430,0.001189,0.002861
1357711314000,336,0.001034,0.002391
1357711315000,492,0.001018,0.002808
1357711316000,324,0.000975,0.003128
1357711317000,564,0.000965,0.002585
1357711318000,407,0.000883,0.002651
1357711319000,528,0.000915,0.002028
1357711320000,605,0.000958,0.002261
1357711321000,276,0.000949,0.003926
1357711322000,376,0.000831,0.003219
1357711323000,808,0.001017,0.009685
1357711324000,345,0.000790,0.002335
1357711325000,636,0.000923,0.003248
1357711326000,430,0.000881,0.001941
